,d1,d2,d3,d4,d5,d6,d7,d8,d9,d0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y0
0,38.0,35.0,36.0,32.0,37.0,34.0,28.0,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,38.0,37.0,32.0,32.0,33.0,32.0,30.0,46.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,28.0,29.0,38.0,36.0,29.0,18.0,28.0,36.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,23.0,26.0,41.0,39.0,30.0,15.0,23.0,29.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,26.0,27.0,38.0,32.0,21.0,26.0,28.0,20.0,16.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,30.0,29.0,40.0,36.0,23.0,14.0,26.0,34.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,34.0,33.0,36.0,30.0,21.0,32.0,10.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,8.0,35.0,30.0,28.0,33.0,32.0,26.0,36.0,36.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.0,32.0,31.0,31.0,30.0,23.0,37.0,25.0,31.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,33.0,32.0,37.0,27.0,10.0,29.0,27.0,23.0,23.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,33.0,34.0,37.0,25.0,24.0,25.0,21.0,33.0,19.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,29.0,38.0,35.0,29.0,32.0,29.0,5.0,31.0,33.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,26.0,31.0,34.0,32.0,33.0,10.0,38.0,32.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,32.0,33.0,36.0,30.0,15.0,32.0,26.0,32.0,28.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,37.0,34.0,39.0,35.0,14.0,31.0,19.0,29.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,27.0,28.0,39.0,43.0,30.0,1.0,31.0,25.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,25.0,30.0,29.0,31.0,14.0,27.0,29.0,21.0,23.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,34.0,35.0,32.0,10.0,37.0,32.0,26.0,34.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,32.0,13.0,40.0,24.0,31.0,30.0,30.0,26.0,22.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,28.0,33.0,34.0,34.0,13.0,26.0,26.0,28.0,28.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,37.0,34.0,33.0,29.0,20.0,27.0,25.0,35.0,29.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,29.0,24.0,27.0,31.0,28.0,31.0,33.0,25.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,36.0,35.0,20.0,22.0,33.0,42.0,34.0,40.0,20.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,19.0,26.0,39.0,29.0,32.0,13.0,33.0,29.0,25.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,34.0,35.0,10.0,28.0,33.0,40.0,34.0,46.0,30.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,21.0,28.0,29.0,29.0,28.0,25.0,29.0,25.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,28.0,27.0,34.0,26.0,27.0,30.0,26.0,30.0,16.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36.0,29.0,42.0,30.0,29.0,28.0,26.0,30.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
